title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
第３団地老人集会所,呉市焼山東2丁目2-6,34.29535171,132.5652328,large,#FF0000,#FFFFFF,2
道心寺礼拝堂,呉市押込6丁目3-2,34.31099888,132.5745428,large,#FF0000,#FFFFFF,2
栃原自治会館,呉市栃原町西谷683-1,34.2858716,132.5881603,large,#FF0000,#FFFFFF,2
苗代自治会館,呉市苗代町字岡ノ台544-2,34.29632227,132.587294,large,#FF0000,#FFFFFF,2
郷原まちづくりセンター,呉市郷原町字飛垣内1585-8,34.3000124,132.6359421,large,#FF0000,#FFFFFF,2
郷原小学校,呉市郷原町1584-1,34.30096659,132.6352733,large,#FF0000,#FFFFFF,2
郷原中学校,呉市郷原町1706,34.29774927,132.638087,large,#FF0000,#FFFFFF,2
グリーンヒル郷原,呉市郷原野路の里2丁目3-1,34.29985871,132.6516831,large,#FF0000,#FFFFFF,2
浄光寺,呉市郷原町1912,34.30205008,132.6335835,large,#FF0000,#FFFFFF,2
（旧）下蒲刈中学校　,呉市下蒲刈町下島2119,34.19287083,132.6776952,large,#FF0000,#FFFFFF,2
下蒲刈市民センター,呉市下蒲刈町下島2361-7,34.18643002,132.6832473,large,#FF0000,#FFFFFF,2
下蒲刈農村環境改善センター,呉市下蒲刈町下島1730,34.19158848,132.6748252,large,#FF0000,#FFFFFF,2
下蒲刈まちづくりセンター（大津会館）,呉市下蒲刈町下島1628-1,34.1923738,132.6715094,large,#FF0000,#FFFFFF,2
正念寺,呉市下蒲刈町下島3314-2,34.17566613,132.6615965,large,#FF0000,#FFFFFF,2
大地蔵集会所,呉市下蒲刈町下島3290-3,34.17433469,132.6621222,large,#FF0000,#FFFFFF,2
川尻まちづくりセンター,呉市川尻町東1丁目1-21,34.2352807,132.6960035,large,#FF0000,#FFFFFF,2
川尻小学校,呉市川尻町久俊1丁目5-24,34.2384328,132.6936436,large,#FF0000,#FFFFFF,2
川尻中学校,呉市川尻町西1丁目23-47,34.23188681,132.6924849,large,#FF0000,#FFFFFF,2
小仁方文化会館,呉市川尻町小仁方1丁目23-7,34.2139844,132.6777946,large,#FF0000,#FFFFFF,2
森・沖田コミュニティホーム,呉市川尻町西1丁目29-1,34.2297878,132.6924034,large,#FF0000,#FFFFFF,2
森文化会館,呉市川尻町西3丁目1-5,34.2335698,132.691141,large,#FF0000,#FFFFFF,2
西の宮地区会館,呉市川尻町西4丁目4-18,34.227713,132.6894419,large,#FF0000,#FFFFFF,2
岩戸自治会館,呉市川尻町西6丁目5-83,34.2187608,132.6836148,large,#FF0000,#FFFFFF,2
原山会館,呉市川尻町森3丁目11-31,34.2361807,132.685833,large,#FF0000,#FFFFFF,2
久俊文化会館,呉市川尻町久俊2丁目10-27,34.2408436,132.6951042,large,#FF0000,#FFFFFF,2
川尻町転作促進研修所,呉市川尻町久筋1丁目7-27,34.2409249,132.7008555,large,#FF0000,#FFFFFF,2
まち文化会館,呉市川尻町東3丁目14-23,34.2374895,132.6991782,large,#FF0000,#FFFFFF,2
小用文化会館,呉市川尻町小用1丁目13-12,34.2398289,132.7182154,large,#FF0000,#FFFFFF,2
かわじり中央会館,呉市川尻町東1丁目8-15,34.235467,132.697707,large,#FF0000,#FFFFFF,2
川尻福祉センターふれあい,呉市川尻町西2丁目3-33,34.2353943,132.6938857,large,#FF0000,#FFFFFF,2
音戸まちづくりセンター,呉市音戸町南隠渡1丁目7-1,34.1881785,132.5335976,large,#FF0000,#FFFFFF,2
（旧）奥内小学校,呉市音戸町畑3丁目27-1,34.16064187,132.5233904,large,#FF0000,#FFFFFF,2
音戸小学校,呉市音戸町南隠渡1丁目12-6,34.196573,132.534548,large,#FF0000,#FFFFFF,2
音戸中学校,呉市音戸町南隠渡4丁目15-1,34.18276233,132.5296828,large,#FF0000,#FFFFFF,2
早瀬パブリックセンター,呉市音戸町早瀬2丁目53-1,34.151632,132.495459,large,#FF0000,#FFFFFF,2
波多見小学校,呉市音戸町波多見9丁目11-1,34.17578152,132.5452128,large,#FF0000,#FFFFFF,2
明徳中学校,呉市音戸町藤脇1丁目30-1,34.15087577,132.509644,large,#FF0000,#FFFFFF,2
音戸高等学校,呉市音戸町北隠渡1丁目1-1,34.19318587,132.5322819,large,#FF0000,#FFFFFF,2
大浦崎体育館（大浦崎スポーツセンター）,呉市音戸町波多見6丁目20-1,34.1746964,132.5549948,large,#FF0000,#FFFFFF,2
せとぎん会館,呉市音戸町鰯浜2丁目4-21,34.194482,132.534597,large,#FF0000,#FFFFFF,2
